timestamp,model,degree_bin,precision,recall,f1_score,samples
2026-05-04 21:04:48,RF_full_model,high,0.4187817258883248,0.609981515711645,0.4966139954853273,33494
2026-05-04 21:04:48,RF_full_model,medium,0.493993993993994,0.3231827111984283,0.3907363420427553,17562
2026-05-04 21:04:48,RF_full_model,very_high,0.5026249965641406,0.826448522100696,0.6250875963559915,113572
2026-05-04 21:04:48,RF_full_model,low,0.4285714285714285,0.4285714285714285,0.4285714285714285,1126
2026-05-04 21:20:35,full_with_log_degree,high,0.419047619047619,0.609981515711645,0.4968009032743696,33494
2026-05-04 21:20:35,full_with_log_degree,medium,0.4954819277108434,0.3231827111984283,0.3912009512485137,17562
2026-05-04 21:20:36,full_with_log_degree,very_high,0.5026386674729262,0.8264937177980656,0.6251110959185069,113572
2026-05-04 21:20:36,full_with_log_degree,low,0.4285714285714285,0.4285714285714285,0.4285714285714285,1126
2026-05-04 21:34:34,only_jaccard,high,0.191554054054054,0.6987060998151571,0.3006761235582659,33494
2026-05-04 21:34:34,only_jaccard,medium,0.1314178049929345,0.5481335952848723,0.2120060790273556,17562
2026-05-04 21:34:34,only_jaccard,very_high,0.4023039432875498,0.6566030913857,0.4989182320821457,113572
2026-05-04 21:34:34,only_jaccard,low,0.1274509803921568,0.6190476190476191,0.2113821138211382,1126
2026-05-04 21:57:41,full_with_log_degree_RF,high,0.419047619047619,0.609981515711645,0.4968009032743696,33494
2026-05-04 21:57:41,full_with_log_degree_RF,medium,0.4954819277108434,0.3231827111984283,0.3912009512485137,17562
2026-05-04 21:57:42,full_with_log_degree_RF,very_high,0.5026386674729262,0.8264937177980656,0.6251110959185069,113572
2026-05-04 21:57:42,full_with_log_degree_RF,low,0.4285714285714285,0.4285714285714285,0.4285714285714285,1126
2026-05-04 23:41:21,enhanced_features_RF,high,0.4185351270553064,0.6038200862600123,0.4943876907554546,33494
2026-05-04 23:41:21,enhanced_features_RF,medium,0.5015337423312883,0.3212180746561886,0.3916167664670659,17562
2026-05-04 23:41:21,enhanced_features_RF,very_high,0.512557013345346,0.8227876706137576,0.6316355561723683,113572
2026-05-04 23:41:21,enhanced_features_RF,low,0.4285714285714285,0.4285714285714285,0.4285714285714285,1126
2026-05-04 23:55:27,enhanced_features_RF,high,0.4185351270553064,0.6038200862600123,0.4943876907554546,33494
2026-05-04 23:55:27,enhanced_features_RF,medium,0.5015337423312883,0.3212180746561886,0.3916167664670659,17562
2026-05-04 23:55:27,enhanced_features_RF,very_high,0.512557013345346,0.8227876706137576,0.6316355561723683,113572
2026-05-04 23:55:27,enhanced_features_RF,low,0.4285714285714285,0.4285714285714285,0.4285714285714285,1126
2026-05-05 00:39:44,enhanced_features_RF,high,0.4185351270553064,0.6038200862600123,0.4943876907554546,33494
2026-05-05 00:39:44,enhanced_features_RF,medium,0.5015337423312883,0.3212180746561886,0.3916167664670659,17562
2026-05-05 00:39:44,enhanced_features_RF,very_high,0.512557013345346,0.8227876706137576,0.6316355561723683,113572
2026-05-05 00:39:44,enhanced_features_RF,low,0.42857142857142855,0.42857142857142855,0.42857142857142855,1126
